Distance between T and W
------------------------------------------------

STATISTICS

Linear fit parameters: [7.81138322e-05 6.22386857e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.68486681e-09 -1.23682723e-03]
 [-1.23682723e-03  9.07938745e+02]]
rms error in linear fit: 1.6085590872939517

Null fit parameter: [119.58049706]
Null covariance matrix: 
[[0.01005653]]
rms error in null fit: 1.6765873458994742

chi-squared test statistic: 0.021654302370825322

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   119.40907847208624    0.46627810551365695
1 2002-05-28    3393   118.98561282605115    0.5798674344182145
2 2002-05-24    3663   120.42262104179754    0.9306952053752358
3 2002-06-03    3665   118.96965619960662    0.6254380127818919
4 2004-07-06    4684   119.34339410280364    0.7927743771741733
5 2009-05-18    10556   119.39999129391187    0.6785069769187962
6 2010-05-13    11843   119.64857629995558    0.697182361500243
7 2013-04-06    14941   120.27814837186584    0.9104617786585592
8 2013-07-27    15041   119.90955712719703    0.5890640846406577
9 2013-08-11    15042   120.16257202774719    0.6652591644579663
10 2015-10-21    16964   119.21164808477255    0.8697323740156232
11 2016-07-12    18731   119.99483560347116    0.5862780536553033
12 2016-07-18    18732   119.54820060369065    0.3962274432006526
13 2017-07-25    19704   119.58127962679983    0.5451145700133897
14 2017-04-11    20041   119.67724647638276    0.786589005422139
