Distance between U and A
------------------------------------------------

STATISTICS

Linear fit parameters: [9.50792473e-05 3.28054263e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 4.96826561e-09 -3.64198515e-03]
 [-3.64198515e-03  2.66978420e+03]]
rms error in linear fit: 2.9331758173804454

Null fit parameter: [397.75206855]
Null covariance matrix: 
[[0.02996841]]
rms error in null fit: 3.1482561658117585

chi-squared test statistic: 0.021626103483027504

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-03-23    2952   398.88819453014094    0.6040101203838691
1 2002-05-25    3392   397.60257220687635    0.33459253218273044
2 2002-05-28    3393   397.51727089498087    0.36681673494808426
3 2002-05-24    3663   397.7318456195744    0.6690411431857672
4 2002-06-03    3665   397.7080654364368    0.4821050861070016
5 2005-07-24    5950   398.1888582151572    0.6636468903992131
6 2005-07-29    5952   396.3216651486164    0.5670727511754241
7 2005-07-30    5953   396.91633647817343    0.5677458410315035
8 2005-08-01    5954   397.39715976140934    0.6700727189297978
9 2014-04-28    16213   397.56488563525096    0.5238634823792079
10 2015-08-17    16965   398.3336834630169    0.8742823366506871
11 2017-07-15    19703   397.9962371148155    0.4380413463283922
12 2017-07-25    19704   397.56707676962617    0.5118973212486516
13 2017-04-06    19726   399.22388608993754    0.6687620660306126
14 2017-04-07    19727   397.4579138577062    0.8851484991026147
15 2017-04-11    20041   399.41331368939444    0.6909652492823685
