Distance between U and C
------------------------------------------------

STATISTICS

Linear fit parameters: [-5.21267027e-05  4.23995496e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.14916657e-09 -8.42987501e-04]
 [-8.42987501e-04  6.18391087e+02]]
rms error in linear fit: 3.4187834485343997

Null fit parameter: [385.75721062]
Null covariance matrix: 
[[0.00579543]]
rms error in null fit: 3.5836325183843583

chi-squared test statistic: 0.030301156689306212

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   385.79113988361684    0.6342509668267106
1 2002-02-19    2951   386.0061526293109    0.5905775731978775
2 2002-03-23    2952   386.6431802143296    0.6089365790932912
3 2002-04-19    2953   386.00190190916356    0.8425314883544284
4 2002-05-25    3392   385.8830908483662    0.27735760654349656
5 2002-05-28    3393   385.74568691621874    0.3502588115133558
6 2003-06-19    3549   387.1346430066569    0.7170412838259808
7 2002-05-24    3663   386.4764060701834    0.635272191984347
8 2002-06-03    3665   386.23661447078456    0.45636536847366377
9 2004-07-05    4683   384.96653265530534    0.4778103112280721
10 2004-07-06    4684   385.60823111742377    0.4015455018666224
11 2005-07-24    5950   385.13582333118234    0.5324224432337026
12 2005-07-27    5951   386.4300966015088    0.5252000781002141
13 2005-07-29    5952   385.64476581217326    0.43598343899963976
14 2005-07-30    5953   385.5907508574489    0.3622754985590969
15 2006-07-17    6363   385.556041763889    0.42515944558990454
16 2008-07-26    9173   386.02375088846566    0.3449697104605536
17 2008-07-25    9174   386.3216253564301    0.516110357678321
18 2013-10-17    14943   385.6743875578144    0.47998258693087503
19 2013-09-20    14944   384.9882437761323    0.640871704162269
20 2013-07-27    15041   385.938512293768    0.595843885685805
21 2013-08-11    15042   384.9107721277749    0.5755880676517947
22 2013-09-14    15043   386.18875563378504    0.4391044895517447
23 2013-10-04    15044   385.0248707990299    0.7425030208110764
24 2013-10-28    15045   385.00687999961406    0.5537357420990027
25 2014-03-14    16211   384.931944599855    0.7141612488594222
26 2014-04-04    16212   385.9616955364733    0.6655072154414883
27 2014-04-28    16213   385.852240653447    0.47435925509337906
28 2014-05-20    16214   386.27901343269525    0.6300769362400421
29 2015-08-17    16965   386.6868430486406    0.5879771076428173
30 2017-07-15    19703   385.6130817448902    0.43223041570230514
31 2017-07-25    19704   385.42366031744126    0.4189146463409356
32 2017-04-06    19726   384.6049953102052    0.7766770179787936
33 2017-04-07    19727   384.9485108573712    0.6322020275532658
34 2017-04-12    20040   385.70913447521696    0.7048423607697041
35 2017-04-11    20041   385.1514653720421    0.6856595109156061
36 2019-03-29    21453   385.57841502498144    0.540599274295447
37 2019-03-30    21454   386.2439490514018    0.6669893692879341
38 2019-03-31    21455   385.96577284352844    0.6126274217593644
39 2019-04-01    21456   385.90117884994214    0.590241447381769
