Distance between U and D
------------------------------------------------

STATISTICS

Linear fit parameters: [7.88785724e-05 2.60603626e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 4.80526366e-09 -3.52262702e-03]
 [-3.52262702e-03  2.58238314e+03]]
rms error in linear fit: 3.0817937250219516

Null fit parameter: [318.42767293]
Null covariance matrix: 
[[0.02768897]]
rms error in null fit: 3.1367158078401123

chi-squared test statistic: 0.029817376960756998

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   318.85903695505743    0.7350117497787468
1 2002-05-25    3392   318.14198122450665    0.2697519349589891
2 2002-05-28    3393   317.9139844374403    0.29834665446358877
3 2002-06-03    3665   319.02761547078666    0.4509553469345574
4 2004-07-05    4683   318.9137042452178    0.4674929195669485
5 2004-07-06    4684   318.4568034081271    0.46702747671608735
6 2005-07-24    5950   317.54162998904246    0.431304533924755
7 2005-07-27    5951   318.76179553728406    0.5120905344267435
8 2005-07-29    5952   318.9818518305289    0.4833642925760521
9 2006-07-17    6363   317.13599770069607    0.5406352950056939
10 2014-05-20    16214   320.2049297521706    0.5096968285205505
11 2017-07-15    19703   318.79936655667643    0.43700727744138923
12 2017-07-25    19704   317.8333210001246    0.4182747041001149
13 2017-04-06    19726   319.07459925021254    0.520779656011753
14 2017-04-07    19727   318.2395309967986    0.781711860948124
15 2017-04-12    20040   318.0097043859672    0.5947444610224917
16 2019-03-31    21455   319.6466847142377    0.6052883977374557
17 2019-04-01    21456   318.15654637464246    0.7470529272292356
