Distance between U and E
------------------------------------------------

STATISTICS

Linear fit parameters: [4.87153817e-06 2.76716147e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.52026897e-09 -1.11551146e-03]
 [-1.11551146e-03  8.18524552e+02]]
rms error in linear fit: 3.4871409031264484

Null fit parameter: [280.29068346]
Null covariance matrix: 
[[0.00745207]]
rms error in null fit: 3.479226810643541

chi-squared test statistic: 0.043383612284813744

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   280.8483358998953    0.6954654867971695
1 2002-05-25    3392   280.36983521307667    0.2546898334841773
2 2002-05-28    3393   280.12405326889785    0.28544363062922784
3 2003-06-19    3549   281.1001490940077    0.5781220533566073
4 2002-05-24    3663   279.9170174095622    0.6402755191513939
5 2002-06-03    3665   281.650242615459    0.5117654700240465
6 2004-07-05    4683   280.2150023491203    0.40952513484111025
7 2004-07-06    4684   280.10626917139723    0.30332213765509836
8 2005-07-24    5950   279.85191207839773    0.432196640043103
9 2005-07-27    5951   280.10963901337686    0.40468640087408625
10 2005-07-29    5952   279.396194481051    0.4687843048708825
11 2005-07-30    5953   280.15007140302305    0.34628466167227395
12 2013-05-12    14702   279.735946529457    0.6252092207260634
13 2013-06-04    14703   280.2024714710916    0.6816343824808174
14 2013-07-02    14946   280.4131141702637    0.7993057256287879
15 2013-07-27    15041   280.9157198787835    0.5566213150108037
16 2013-08-11    15042   280.0187239204812    0.4275758289414539
17 2013-09-14    15043   280.76633276700625    0.3750337939885194
18 2013-10-04    15044   279.473599554755    0.5165723485082507
19 2013-10-28    15045   280.29037796685236    0.4678515055404542
20 2014-03-14    16211   280.23497037943343    0.5436722948410504
21 2014-04-04    16212   280.59972498618487    0.47762345349047275
22 2014-04-28    16213   279.8031510703324    0.4636053138478311
23 2014-05-20    16214   281.3579691608422    0.4231004276346044
24 2015-08-17    16965   281.5536385003637    0.5723469984392454
25 2017-07-15    19703   280.25728621773493    0.3661784162042285
26 2017-07-25    19704   280.04174662932877    0.4601229559274147
27 2017-04-06    19726   280.9182060063875    0.5837324851694632
28 2017-04-07    19727   278.9782529057344    0.7767504562842165
29 2017-04-12    20040   280.23730520001465    0.46237345702370014
30 2017-04-11    20041   279.69307973736454    0.6786875054481887
31 2019-03-29    21453   279.63430906716906    0.6599684650260162
32 2019-03-30    21454   280.7648476947834    0.5654854753003467
33 2019-03-31    21455   280.0159283373607    0.5753001939751473
34 2019-04-01    21456   280.3343264323343    0.5638171194978943
