Distance between U and G
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.02780729e-04  3.30991857e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 4.47465231e-09 -3.29175197e-03]
 [-3.29175197e-03  2.42157276e+03]]
rms error in linear fit: 2.1201634359777937

Null fit parameter: [255.38181112]
Null covariance matrix: 
[[0.01596745]]
rms error in null fit: 2.1113563327325062

chi-squared test statistic: 0.01759938691335894

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2003-06-19    3549   256.3285230381894    0.3654225245505242
1 2005-07-24    5950   254.86689791113744    0.5548493808132612
2 2005-07-30    5953   255.65864042024086    0.4680727311775682
3 2013-05-12    14702   255.41199598136004    0.3901944630985881
4 2013-06-04    14703   255.26803634826086    0.5582306472529
5 2013-07-02    14946   256.2703066547854    0.737334053086737
6 2013-10-28    15045   255.16751635802365    0.418289706924456
7 2017-07-15    19703   255.0326806290723    0.22683954095842426
8 2017-07-25    19704   255.04548651910426    0.23731433256537773
9 2017-04-06    19726   256.1663027307715    0.46721007282603316
10 2017-04-07    19727   254.48705490837608    0.6293331174410682
11 2019-03-29    21453   255.5995401169917    0.38209223335259884
12 2019-03-30    21454   256.1155993790111    0.5378508674101277
13 2019-03-31    21455   255.17936667474797    0.4410289193787967
14 2019-04-01    21456   255.68633153338524    0.4488195785116237
