Distance between U and H
------------------------------------------------

STATISTICS

Linear fit parameters: [1.19183981e-04 1.36445270e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.01465540e-08 -7.43789374e-03]
 [-7.43789374e-03  5.45236343e+03]]
rms error in linear fit: 7.5530865691667985

Null fit parameter: [223.81264486]
Null covariance matrix: 
[[0.04363156]]
rms error in null fit: 7.49339629986563

chi-squared test statistic: 0.25500546258678186

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   222.99302949261516    0.5144261359216962
1 2002-02-19    2951   223.144639506315    0.4819044170248811
2 2002-03-23    2952   226.4064508754872    0.6615461515532963
3 2002-05-25    3392   222.7260495402888    0.22548110416960174
4 2002-05-28    3393   224.63125059195355    0.25371064364214174
5 2002-05-24    3663   225.66399859204827    0.4890037198932908
6 2002-06-03    3665   222.67414025352932    0.3546766458287479
7 2004-07-06    4684   222.6998561871171    0.3004822574878853
8 2004-08-28    5360   226.13014278190104    0.5991528130961772
9 2005-07-24    5950   223.88128780116725    0.420958033573039
10 2005-07-27    5951   225.5034243471896    0.34377779866291375
11 2005-07-29    5952   223.18243105312936    0.3975566257070145
12 2005-07-30    5953   222.68726486250236    0.3061771360858657
13 2005-02-27    6113   226.54782076424235    0.8149191428784586
14 2006-05-03    6640   225.70365036544524    0.7634547386208943
15 2006-07-30    6643   220.50441909096193    0.7457836065175356
16 2006-09-25    6645   223.32653364283942    0.7266920764712987
17 2007-02-11    7554   223.25116657572758    0.813074972436732
18 2008-07-25    9174   222.92586603750658    0.3362752998000929
19 2013-06-04    14703   224.50667906615251    0.7057943835356895
20 2013-09-20    14944   222.71866996926758    0.6235532704772079
21 2013-10-04    15044   224.40518212547295    0.49447606664087396
22 2014-04-04    16212   225.01754536500346    0.39957622100727375
23 2014-04-28    16213   224.43487420459203    0.34717784990301903
24 2014-05-20    16214   224.28257077853436    0.3253770830022095
25 2015-10-21    16964   223.41490634530936    0.46528392770786
26 2015-08-17    16965   224.0285426376983    0.560709575214188
27 2017-07-25    19704   223.81570530209132    0.31784309848091824
28 2017-04-06    19726   225.5159395835562    0.4198356238636071
29 2017-04-12    20040   223.56832445841883    0.43022991264608057
