Distance between U and I
------------------------------------------------

STATISTICS

Linear fit parameters: [1.11187823e-04 1.29196106e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.63070006e-09 -1.19602509e-03]
 [-1.19602509e-03  8.77224966e+02]]
rms error in linear fit: 3.3825589598411607

Null fit parameter: [210.74600562]
Null covariance matrix: 
[[0.01105958]]
rms error in null fit: 3.6156272573693697

chi-squared test statistic: 0.05426047896529273

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   210.50263438410946    0.4861802167992592
1 2002-02-19    2951   211.09199460255005    0.4280761773503868
2 2002-05-07    2954   211.18392469118393    0.5681237599843577
3 2002-05-25    3392   210.4457176582526    0.19811326234909774
4 2002-05-28    3393   210.7663452757406    0.22280981469122765
5 2003-06-19    3549   211.55620179514747    0.4663926246817471
6 2002-05-24    3663   210.62505615675926    0.5066905405611245
7 2002-06-03    3665   210.2668836079592    0.3246105791451072
8 2004-07-05    4683   210.35861903664016    0.2998502165958196
9 2004-07-06    4684   210.33038817581723    0.22575339490611848
10 2005-07-24    5950   209.51909519407775    0.39862963761601644
11 2005-07-27    5951   210.1644625546088    0.32653050969638703
12 2005-07-29    5952   210.6757004274905    0.34277912618766665
13 2005-07-30    5953   210.3308663518946    0.2625101324028731
14 2005-08-01    5954   210.96576965659062    0.4757729629736912
15 2006-05-03    6640   210.57901252080677    0.7024838175051371
16 2006-07-30    6643   210.83598727652486    0.7380911210763249
17 2007-02-11    7554   211.31082055713694    0.6322900196043121
18 2007-07-20    7557   209.92372774887554    0.639301808309771
19 2008-07-26    9173   210.7956496569342    0.3422935528823388
20 2013-09-14    15043   211.01338038468745    0.20365128216136932
21 2016-02-13    18055   210.3691649516216    0.32971481551343307
22 2017-07-15    19703   210.96123365080436    0.26400575836565104
23 2017-07-25    19704   212.020117992105    0.29619268259286796
24 2017-04-06    19726   213.05682595148954    0.4100623502490849
25 2017-04-07    19727   211.6944716044206    0.49593054538479153
26 2017-04-12    20040   211.00861179920477    0.36246693695267057
27 2017-04-11    20041   210.59059334928017    0.4075534160065247
28 2019-03-29    21453   210.63404333694925    0.3190700686885434
29 2019-03-30    21454   210.54398632692104    0.41256183565723953
30 2019-03-31    21455   210.87344949821073    0.3584817599540427
