Distance between U and K
------------------------------------------------

STATISTICS

Linear fit parameters: [3.31098719e-05 1.84506304e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.50632990e-09 -1.10548076e-03]
 [-1.10548076e-03  8.11308946e+02]]
rms error in linear fit: 4.15013902031758

Null fit parameter: [208.80531424]
Null covariance matrix: 
[[0.00739339]]
rms error in null fit: 4.157388581717405

chi-squared test statistic: 0.08248421773237848

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   208.77181506506474    0.4894873608760374
1 2002-03-23    2952   209.72659455299885    0.6560682382195251
2 2002-04-19    2953   209.51002660300185    0.6664694161137651
3 2002-05-07    2954   208.8028358367194    0.5647118232036812
4 2002-05-25    3392   208.78233992752743    0.21405706609280445
5 2002-05-28    3393   208.82026560201956    0.26000762658204096
6 2003-06-19    3549   209.20574118852718    0.48500357448062065
7 2002-05-24    3663   208.92903933147468    0.5030710656469503
8 2002-06-03    3665   208.88990280907694    0.37300876654560255
9 2004-07-05    4683   208.68582977483456    0.328511180028449
10 2004-07-06    4684   208.70948991028916    0.2786463735873851
11 2005-07-24    5950   207.33418071237034    0.415537369307827
12 2005-07-27    5951   208.54593860201913    0.3929661886558966
13 2005-07-29    5952   208.37639611116856    0.3832286078113326
14 2005-07-30    5953   207.75001768630756    0.33152012969510464
15 2006-07-17    6363   208.29181502097907    0.40469808147014646
16 2007-07-20    7557   209.7567915320167    0.6638345048517476
17 2008-07-26    9173   210.37128542855726    0.4023085509545021
18 2008-07-25    9174   208.63395324940223    0.32182038273286145
19 2013-10-17    14943   209.5050141419881    0.5148368590184532
20 2013-09-20    14944   208.72252017087072    0.6203983869792882
21 2013-07-02    14946   209.45999708092154    0.6262123221369991
22 2013-07-27    15041   208.6550416789598    0.4369250064981782
23 2013-08-11    15042   208.3498963253465    0.3909852019652248
24 2013-09-14    15043   209.1531130584812    0.3066331257416696
25 2013-10-04    15044   208.06327653764197    0.4786500029880734
26 2013-10-28    15045   208.63774506739227    0.33373262248795554
27 2014-03-14    16211   208.96538242354748    0.43923753088285117
28 2014-04-04    16212   208.89466866433156    0.4143758316084111
29 2014-04-28    16213   208.82968700024043    0.33454528746975754
30 2014-05-20    16214   209.58900896328183    0.3122148948807527
31 2015-10-21    16964   208.0521992649989    0.49373051987333455
32 2015-08-17    16965   209.7805112519045    0.5437998775874996
33 2016-02-13    18055   208.4929787869269    0.45006949771605953
34 2017-07-15    19703   208.52417456714608    0.295480802804044
35 2017-07-25    19704   208.6196186347473    0.31009352238902543
36 2017-04-06    19726   210.47240913146626    0.4379726431776483
37 2017-04-07    19727   208.19969267185786    0.5079244280102871
38 2017-04-12    20040   208.39218236953474    0.46499611890584225
39 2017-04-11    20041   209.346816553631    0.5012434195094952
40 2019-03-29    21453   208.38756349317637    0.36525579920695334
41 2019-03-30    21454   209.20006109255874    0.4598349030065991
42 2019-03-31    21455   209.11494336032672    0.41532170826740517
43 2019-04-01    21456   209.33651211491448    0.4709087990863908
