Distance between U and L
------------------------------------------------

STATISTICS

Linear fit parameters: [3.21275336e-05 1.81046642e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 6.31334656e-09 -4.63081189e-03]
 [-4.63081189e-03  3.39671259e+03]]
rms error in linear fit: 4.476241993659406

Null fit parameter: [204.61204581]
Null covariance matrix: 
[[0.03133061]]
rms error in null fit: 4.513041834053133

chi-squared test statistic: 0.09792356981476784

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   205.66722392811224    0.5739825955219169
1 2002-05-25    3392   204.722305705131    0.2542423808933205
2 2002-05-28    3393   205.2877547620476    0.29426689624009655
3 2002-05-24    3663   203.98991797507196    0.5533729703193987
4 2002-06-03    3665   203.27962798349952    0.3958156769133586
5 2004-07-05    4683   202.91879647991837    0.3946941587181783
6 2005-07-24    5950   204.10879129945397    0.4907148075943959
7 2005-07-27    5951   204.37844786992952    0.43577515155873053
8 2005-07-29    5952   206.21892915674962    0.4476297227722251
9 2005-07-30    5953   204.44160666227387    0.38867415036529723
10 2006-07-17    6363   205.57688059817553    0.4790327429768355
11 2008-07-25    9174   203.89654467322188    0.4317807758366973
12 2013-06-04    14703   204.1930924129828    0.7687235313053742
13 2013-08-31    14945   203.92199641387964    0.6353551458748254
14 2013-07-27    15041   203.8470619311163    0.5091789606135124
15 2013-08-11    15042   203.79383929410724    0.46332776265974396
16 2013-10-28    15045   205.64866186075383    0.4214221644609612
17 2014-04-04    16212   205.55592376234532    0.46416797709409957
18 2014-05-20    16214   204.75452065321326    0.39884160174695954
19 2015-08-17    16965   206.1630681889346    0.6936329171784937
20 2017-07-15    19703   203.63461725916503    0.35663380542608325
21 2017-07-25    19704   204.39474296687717    0.36798231640047957
22 2017-04-07    19727   204.4035949292728    0.6012979034478727
23 2019-03-29    21453   205.94790521328738    0.426219844715136
24 2019-03-31    21455   205.12757279005638    0.4941073894234506
