Distance between U and Magnetar
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.66683342e-04  3.29508689e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 2.15243049e-08 -1.58341441e-02]
 [-1.58341441e-02  1.16482412e+04]]
rms error in linear fit: 2.373729909409363

Null fit parameter: [206.88971966]
Null covariance matrix: 
[[0.0082661]]
rms error in null fit: 2.354515796885667

chi-squared test statistic: 0.027231801773411897

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2013-05-12    14702   206.54722462866815    0.3322995113320751
1 2013-06-04    14703   206.6571507641165    0.5380151957731266
2 2013-10-17    14943   206.8921439791146    0.3551008531193363
3 2013-09-20    14944   206.25983575674758    0.45717394650047427
4 2013-08-31    14945   207.5717772949801    0.38890051539117176
5 2013-07-02    14946   207.07125092718346    0.47155148659827406
6 2013-07-27    15041   207.12542894210938    0.3479981798033813
7 2013-08-11    15042   206.31971855035468    0.29711626626039084
8 2013-09-14    15043   207.2142693858159    0.2103857820461
9 2013-10-04    15044   205.9886300311125    0.38224192886412395
10 2013-10-28    15045   206.8164752626748    0.24326283556326994
11 2014-03-14    16211   206.7964584326753    0.334266525869017
12 2014-04-04    16212   207.2229685254519    0.3058006298550634
13 2014-04-28    16213   206.9558126511986    0.23261633940128698
14 2014-05-20    16214   207.67400411170107    0.20710444307524611
15 2015-10-21    16964   206.70072367561318    0.35221654489844306
16 2015-08-17    16965   208.0163443127882    0.42247451114761153
17 2016-02-13    18055   206.33270090813994    0.3344674306769128
18 2016-02-14    18056   206.36238626251944    0.4052284363008934
19 2017-07-15    19703   206.27453909508597    0.24095498182708286
20 2017-07-25    19704   206.70604836335477    0.2620153210684565
21 2017-04-06    19726   206.9094122998852    0.3752387185413193
22 2017-04-07    19727   206.65112692410267    0.44506276559401103
23 2017-04-12    20040   206.90377716924138    0.3455029658300607
24 2017-04-11    20041   207.15045484338245    0.3539236295159466
25 2019-03-31    21455   206.82596313589875    0.3434719572610289
