Distance between U and R
------------------------------------------------

STATISTICS

Linear fit parameters: [-2.82008131e-05  2.10103388e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.4525339e-09 -1.0655283e-03]
 [-1.0655283e-03  7.8164158e+02]]
rms error in linear fit: 3.527444718503752

Null fit parameter: [189.41625365]
Null covariance matrix: 
[[0.00702507]]
rms error in null fit: 3.5301675434676487

chi-squared test statistic: 0.06570056693578534

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   189.64917861366067    0.655053275006899
1 2002-02-19    2951   189.3496427971885    0.6867936661190045
2 2002-03-23    2952   190.5424886156306    0.8936867479414968
3 2002-05-25    3392   189.6093767883959    0.2242110564067056
4 2002-05-28    3393   189.6639806995161    0.26339026438127155
5 2002-05-24    3663   189.7489914348383    0.5278923141746071
6 2002-06-03    3665   189.55158806055834    0.3778329992504264
7 2004-07-05    4683   189.0485760998108    0.35177693945996197
8 2004-07-06    4684   189.43698804078585    0.26613947730550386
9 2005-07-24    5950   189.0066941286643    0.41769181799600613
10 2005-07-27    5951   189.575434213878    0.37393512054492717
11 2005-07-29    5952   189.9385286691533    0.4177311155038368
12 2005-07-30    5953   188.60314429106438    0.3895520933105318
13 2005-08-01    5954   190.29130284286015    0.6350866552091308
14 2006-07-17    6363   189.2513911781926    0.4017503593531132
15 2008-07-26    9173   189.7082724884789    0.4307720336532743
16 2008-07-25    9174   188.8181159424607    0.43099947040887926
17 2013-05-12    14702   189.56409322457503    0.673285089513309
18 2013-06-04    14703   189.3442033960467    0.8146693209026876
19 2013-07-02    14946   190.13325535013757    0.608684517967562
20 2013-07-27    15041   189.91395304282258    0.5173769947231889
21 2013-08-11    15042   189.26480688198154    0.41544494189066367
22 2013-09-14    15043   188.67016231529956    0.42082345551817396
23 2013-10-04    15044   187.7538895918281    0.5549446191665467
24 2013-10-28    15045   189.46337507238013    0.48158538382106025
25 2014-03-14    16211   188.85814374594517    0.5626623344407549
26 2014-04-04    16212   188.83595561382685    0.5472833322418171
27 2014-04-28    16213   189.21305910118917    0.48218470833164007
28 2014-05-20    16214   190.45643017735355    0.31285802211215386
29 2016-02-13    18055   189.4026783412881    0.46727309953832247
30 2017-07-15    19703   188.92975982417744    0.2981417038898101
31 2017-07-25    19704   188.82378914963488    0.3393676830995022
32 2017-04-06    19726   189.27912371650538    0.5685929141622956
33 2017-04-11    20041   189.87769676316748    0.7318603511750836
34 2019-03-29    21453   189.6332103134716    0.3880796569783113
35 2019-03-30    21454   190.45188284621628    0.6287878079771158
36 2019-03-31    21455   189.3982749001741    0.5760194775250026
37 2019-04-01    21456   190.16699988113655    0.6385275754854435
