Distance between W and C
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.41363302e-04  3.38355338e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.61180868e-09 -1.18239980e-03]
 [-1.18239980e-03  8.67400291e+02]]
rms error in linear fit: 1.5499155932123128

Null fit parameter: [234.65324068]
Null covariance matrix: 
[[0.01579524]]
rms error in null fit: 1.829530038464205

chi-squared test statistic: 0.010250303312196292

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   234.97871087945072    0.27001612198641645
1 2002-05-28    3393   235.1165697084942    0.4278913139207842
2 2002-05-24    3663   234.94416006147557    0.6530230213169953
3 2002-06-03    3665   235.19312607917487    0.37945117517110366
4 2004-07-06    4684   234.6088238769183    0.5287752936679436
5 2009-05-18    10556   234.45738369184667    0.37566781386398507
6 2010-05-13    11843   235.14448602111693    0.6248296555295267
7 2013-04-06    14941   234.04799936468476    0.8592505299022619
8 2013-07-27    15041   234.89682988389472    0.47143027020896444
9 2013-08-11    15042   234.44269501286743    0.5851766748116
10 2016-07-12    18731   234.450902276367    0.3912260550140543
11 2016-07-18    18732   233.75177550327035    0.3404196352608547
12 2017-07-25    19704   234.65512787915858    0.45650988820988203
13 2017-04-11    20041   233.7295799427961    0.6082642459841717
14 2018-04-24    20346   235.09152729112793    0.7454170668844823
