Distance between W and E
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.12698068e-04  2.31447966e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 3.15993832e-09 -2.31857854e-03]
 [-2.31857854e-03  1.70125407e+03]]
rms error in linear fit: 2.0338687048918644

Null fit parameter: [148.75669359]
Null covariance matrix: 
[[0.02008253]]
rms error in null fit: 2.1863039040092502

chi-squared test statistic: 0.027824815221269998

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   148.96633076781688    0.3253910593694434
1 2002-05-28    3393   149.04496169321112    0.4420578916362444
2 2002-05-24    3663   148.18530623333035    0.8344818111951987
3 2002-06-03    3665   149.7025532903931    0.5605712381729271
4 2004-07-06    4684   148.77102583631492    0.5867242015814578
5 2009-05-18    10556   148.86307472889095    0.4040680799008032
6 2010-05-13    11843   148.74206699630523    0.49971199076861944
7 2013-07-27    15041   149.17047660915054    0.5414367391292507
8 2013-08-11    15042   149.29709315773133    0.6114521283160033
9 2016-07-12    18731   147.43149829639339    0.541122270536669
10 2016-07-18    18732   148.34380974278832    0.3237567869181183
11 2017-07-25    19704   148.46982475314627    0.6449373170559553
12 2017-04-11    20041   147.90361711830408    0.8105001623142867
13 2018-04-24    20346   149.22585370918924    0.5968579725893712
