Distance between W and K
------------------------------------------------

STATISTICS

Linear fit parameters: [-4.73267551e-05  9.41635195e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 2.02355016e-09 -1.48488497e-03]
 [-1.48488497e-03  1.08962168e+03]]
rms error in linear fit: 1.6959808045114584

Null fit parameter: [59.43505635]
Null covariance matrix: 
[[0.01033172]]
rms error in null fit: 1.5887036149427631

chi-squared test statistic: 0.04844984746786334

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   59.66235168869281    0.23235452974886403
1 2002-05-28    3393   59.84243869652923    0.3527557545974306
2 2002-05-24    3663   59.14090917436726    0.5680225154824452
3 2002-06-03    3665   59.31798187690026    0.33051076993303424
4 2004-07-06    4684   59.22404623722016    0.4750990689300363
5 2009-05-18    10556   59.344358057006076    0.30816313003647156
6 2010-05-13    11843   59.70517168237866    0.3723818054147503
7 2013-04-06    14941   59.33108902202211    0.5850581377077774
8 2013-07-27    15041   59.4270439234241    0.3436772312364929
9 2013-08-11    15042   59.94886905363747    0.4539525968175609
10 2015-10-21    16964   60.203850697554884    0.6731622001399319
11 2015-05-14    16966   59.589461968677426    0.5922906973918071
12 2016-07-12    18731   59.40001787134031    0.40089288255676075
13 2016-07-18    18732   58.58094782362786    0.25547124291184775
14 2017-07-25    19704   59.78042445518191    0.39145757791756536
15 2017-04-11    20041   59.961474333506054    0.5022273433560143
16 2018-04-24    20346   59.18301257186212    0.5435444483708042
