Distance between W and N
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.24284021e-04  1.63162389e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 7.03623246e-10 -5.16540089e-04]
 [-5.16540089e-04  3.79202930e+02]]
rms error in linear fit: 1.2487589613466685

Null fit parameter: [71.92367577]
Null covariance matrix: 
[[0.00765721]]
rms error in null fit: 1.4917002069472698

chi-squared test statistic: 0.02168946448733124

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   72.37612686340759    0.25397953485367064
1 2002-05-28    3393   72.66965267754219    0.36464321313141534
2 2002-05-24    3663   71.76737998000029    0.5556396312901356
3 2002-06-03    3665   72.10751597701665    0.28387601801665596
4 2004-07-06    4684   72.16440385915023    0.5364752810981795
5 2009-05-18    10556   72.08224848787665    0.2278832380886232
6 2010-05-13    11843   71.83923996097406    0.31913620280951965
7 2013-04-06    14941   71.50891348043204    0.5328846377996991
8 2013-07-27    15041   72.07023526278783    0.38802985517006083
9 2013-08-11    15042   71.75324706177848    0.3920969017479275
10 2015-10-21    16964   72.57524169451617    0.5404280916829692
11 2015-05-14    16966   71.88548481988262    0.514264283668365
12 2016-07-12    18731   71.55910455175797    0.3347269881052018
13 2016-07-18    18732   71.58656090064423    0.21186823756822648
14 2017-07-25    19704   71.36688319781285    0.34367909898153537
15 2017-04-11    20041   71.7938776901775    0.3921099442652881
16 2018-04-24    20346   71.6178139705385    0.4333105057578095
