Distance between U and N
------------------------------------------------

STATISTICS

Linear fit parameters: [-4.19273343e-05  2.66180346e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 9.22321630e-10 -6.77201361e-04]
 [-6.77201361e-04  4.97229979e+02]]
rms error in linear fit: 3.168138176935356

Null fit parameter: [235.39580527]
Null covariance matrix: 
[[0.00464146]]
rms error in null fit: 3.200226974519058

chi-squared test statistic: 0.0426384398314383

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   235.26072551422178    0.6605557323500327
1 2002-02-19    2951   235.76505203058986    0.4556527563858281
2 2002-03-23    2952   235.981229186004    0.7839002615348628
3 2002-04-19    2953   236.40947997540746    0.9314901608728893
4 2002-05-07    2954   235.3083530987596    0.6206755536165198
5 2002-05-25    3392   235.90502654001904    0.27611504001364395
6 2002-05-28    3393   235.54420249313793    0.3193027263184922
7 2003-06-19    3549   236.05747698507247    0.5840100032888893
8 2002-05-24    3663   235.59281964249814    0.6054173773538774
9 2002-06-03    3665   235.51048424701673    0.38833162167260316
10 2004-07-05    4683   235.03302015647566    0.49608522346309347
11 2004-07-06    4684   235.75997553743176    0.4103646980665146
12 2005-07-24    5950   234.72256568293315    0.5101891311170826
13 2005-07-27    5951   235.50103946590406    0.5621258716421185
14 2005-07-29    5952   235.08685783665246    0.5517580921110866
15 2005-07-30    5953   234.95438800850232    0.35163410860523553
16 2005-08-01    5954   234.9495948570424    0.9138596455072875
17 2006-07-17    6363   234.59525633355616    0.6876637899246177
18 2013-05-12    14702   235.18509984831022    0.5828715439094063
19 2013-06-04    14703   235.32214305752126    0.8304055995192724
20 2013-10-17    14943   235.24512292540712    0.5855486278814317
21 2013-09-20    14944   234.78450229157497    0.7404170293039347
22 2013-08-31    14945   236.12318558912986    0.554645650203136
23 2013-07-02    14946   235.46133936829844    0.8077929450424344
24 2013-07-27    15041   235.86055741011947    0.540462682448168
25 2013-08-11    15042   235.0106150231468    0.3996630504574097
26 2013-09-14    15043   235.66044723807565    0.3576819408107372
27 2013-10-04    15044   234.07776114417985    0.5829634940557701
28 2013-10-28    15045   235.41894427455168    0.4015336991007553
29 2014-03-14    16211   235.07103713584786    0.5478692983463365
30 2014-04-04    16212   235.4327266184503    0.4763307200091329
31 2014-04-28    16213   235.77396158414254    0.3731904521881201
32 2014-05-20    16214   235.98913466909917    0.32072132301664724
33 2015-10-21    16964   234.8509335524148    0.4504752614188247
34 2015-08-17    16965   235.96450114108904    0.6548414994244754
35 2016-02-13    18055   235.02564965590258    0.43855817587308704
36 2016-02-14    18056   234.68239414015977    0.5946989533806288
37 2017-07-15    19703   234.9993923157941    0.30645422631186886
38 2017-07-25    19704   234.96827562968204    0.3221220719025922
39 2017-04-06    19726   235.49961036872156    0.3848031286846889
40 2017-04-07    19727   235.00877199535728    0.49734676164343755
41 2017-04-12    20040   235.1421293995054    0.4045087494543098
42 2017-04-11    20041   235.54653352888707    0.48531987716860925
43 2019-03-29    21453   235.70985049243023    0.4553171568519486
44 2019-03-30    21454   235.4206760502264    0.5061508446575048
45 2019-03-31    21455   235.74365712150134    0.5418977956198079
46 2019-04-01    21456   235.8970857586629    0.7079704700459294
